CandidateID,Name,Age,Education,Skills,Interests,Recommended_Career,Recommendation_Score,data_source,Gender,Education Level,Job Title,Years of Experience,Salary
200.0,Micah Long,31.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Master's,Senior Financial Analyst,6.0,95000.0
200.0,Micah Long,40.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,Bachelor's,Office Manager,15.0,65000.0
200.0,Micah Long,48.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,PhD,Principal Engineer,20.0,170000.0
200.0,Micah Long,29.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,Bachelor's,Junior HR Generalist,3.0,45000.0
200.0,Micah Long,35.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Master's,Senior Product Manager,10.0,120000.0
200.0,Micah Long,42.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,Bachelor's,Sales Manager,17.0,100000.0
200.0,Micah Long,53.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Master's,Director of Marketing,25.0,180000.0
200.0,Micah Long,33.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,Bachelor's,Junior Operations Analyst,5.0,50000.0
200.0,Micah Long,38.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Bachelor's,Customer Service Manager,11.0,80000.0
200.0,Micah Long,44.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,PhD,Senior Scientist,16.0,140000.0
200.0,Micah Long,26.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Bachelor's,Junior Accountant,2.0,40000.0
200.0,Micah Long,37.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,Master's,Senior HR Generalist,9.0,95000.0
200.0,Micah Long,45.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Bachelor's,Sales Operations Manager,18.0,110000.0
200.0,Micah Long,32.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,Bachelor's,Marketing Coordinator,4.0,50000.0
200.0,Micah Long,34.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Master's,Senior Software Developer,8.0,105000.0
200.0,Micah Long,50.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,Master's,Director of Operations,21.0,160000.0
200.0,Micah Long,29.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Bachelor's,Junior Web Designer,3.0,45000.0
200.0,Micah Long,40.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,Master's,Senior Training Specialist,12.0,100000.0
200.0,Micah Long,47.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,PhD,Senior Research Scientist,22.0,160000.0
200.0,Micah Long,27.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Bachelor's,Junior Sales Representative,1.0,35000.0
200.0,Micah Long,39.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,Bachelor's,Administrative Assistant,10.0,55000.0
200.0,Micah Long,46.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Master's,Senior Project Manager,19.0,140000.0
200.0,Micah Long,30.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,Bachelor's,Junior Marketing Manager,4.0,50000.0
200.0,Micah Long,36.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Bachelor's,Junior Data Analyst,7.0,60000.0
200.0,Micah Long,43.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,Master's,Senior Product Marketing Manager,14.0,120000.0
200.0,Micah Long,28.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Bachelor's,Junior Business Analyst,2.0,40000.0
200.0,Micah Long,41.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,Master's,Senior Marketing Manager,13.0,110000.0
200.0,Micah Long,33.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Bachelor's,Junior Software Developer,5.0,50000.0
200.0,Micah Long,47.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Bachelor's,Senior Sales Manager,20.0,135000.0
200.0,Micah Long,25.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,Master's,Junior Marketing Specialist,1.5,40000.0
200.0,Micah Long,34.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Bachelor's,Senior Business Analyst,8.0,90000.0
200.0,Micah Long,42.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,PhD,Senior Data Scientist,16.0,150000.0
200.0,Micah Long,31.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Bachelor's,Junior Project Manager,4.0,60000.0
200.0,Micah Long,38.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,Bachelor's,Senior Accountant,10.0,80000.0
200.0,Micah Long,45.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Master's,Director of Sales,19.0,175000.0
200.0,Micah Long,29.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,Bachelor's,Junior Recruiter,3.0,45000.0
200.0,Micah Long,36.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Master's,Senior Business Development Manager,11.0,120000.0
200.0,Micah Long,43.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,PhD,Senior Product Designer,18.0,140000.0
200.0,Micah Long,26.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Bachelor's,Junior Customer Support Specialist,2.0,35000.0
200.0,Micah Long,37.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,Master's,Senior Marketing Analyst,9.0,95000.0
200.0,Micah Long,44.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Bachelor's,Senior IT Support Specialist,14.0,110000.0
200.0,Micah Long,32.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,Bachelor's,Junior Financial Analyst,5.0,50000.0
200.0,Micah Long,33.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Master's,Senior Operations Manager,7.0,115000.0
200.0,Micah Long,51.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,PhD,Director of Human Resources,23.0,185000.0
200.0,Micah Long,28.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Bachelor's,Junior Software Engineer,2.0,40000.0
200.0,Micah Long,39.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,Bachelor's,Senior Sales Representative,12.0,90000.0
200.0,Micah Long,48.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Master's,Director of Product Management,21.0,175000.0
200.0,Micah Long,30.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,Bachelor's,Junior Copywriter,3.0,45000.0
200.0,Micah Long,35.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Bachelor's,Senior Marketing Coordinator,7.0,80000.0
200.0,Micah Long,41.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,Master's,Senior Human Resources Manager,13.0,120000.0
200.0,Micah Long,27.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Bachelor's,Junior Business Development Associate,1.5,35000.0
200.0,Micah Long,40.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,Bachelor's,Senior Account Manager,14.0,110000.0
200.0,Micah Long,46.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,PhD,Senior Researcher,18.0,150000.0
200.0,Micah Long,31.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,Bachelor's,Junior HR Coordinator,4.0,50000.0
200.0,Micah Long,34.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Master's,Senior Software Engineer,9.0,105000.0
200.0,Micah Long,50.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,Master's,Director of Finance,20.0,180000.0
200.0,Micah Long,29.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Bachelor's,Junior Marketing Coordinator,2.0,40000.0
200.0,Micah Long,29.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Bachelor's,Junior Marketing Coordinator,2.0,40000.0
200.0,Micah Long,43.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Bachelor's,Senior Project Manager,16.0,140000.0
200.0,Micah Long,26.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,Master's,Junior Data Scientist,1.5,45000.0
200.0,Micah Long,35.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Bachelor's,Senior Operations Analyst,7.0,85000.0
200.0,Micah Long,42.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,PhD,Senior Marketing Manager,18.0,140000.0
200.0,Micah Long,31.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Bachelor's,Junior Accountant,4.0,50000.0
200.0,Micah Long,38.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,Bachelor's,Senior Human Resources Coordinator,10.0,80000.0
200.0,Micah Long,46.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Master's,Director of Operations,20.0,170000.0
200.0,Micah Long,29.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,Bachelor's,Junior Sales Representative,2.0,40000.0
200.0,Micah Long,37.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Master's,Senior Business Analyst,9.0,105000.0
200.0,Micah Long,44.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,PhD,Senior UX Designer,15.0,145000.0
200.0,Micah Long,27.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Bachelor's,Junior Product Manager,2.0,40000.0
200.0,Micah Long,36.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,Bachelor's,Senior Marketing Specialist,8.0,85000.0
200.0,Micah Long,43.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Bachelor's,Senior IT Project Manager,14.0,130000.0
200.0,Micah Long,33.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,Master's,Senior Financial Analyst,6.0,95000.0
200.0,Micah Long,34.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Bachelor's,Senior Quality Assurance Analyst,9.0,100000.0
200.0,Micah Long,50.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,PhD,Director of Sales and Marketing,22.0,180000.0
200.0,Micah Long,28.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Bachelor's,Junior Operations Analyst,1.5,35000.0
200.0,Micah Long,39.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,Bachelor's,Senior Account Executive,12.0,95000.0
200.0,Micah Long,47.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Master's,Director of Business Development,19.0,170000.0
200.0,Micah Long,30.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,Bachelor's,Junior Social Media Manager,3.0,45000.0
200.0,Micah Long,34.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Bachelor's,Senior Product Manager,7.0,95000.0
200.0,Micah Long,40.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,Master's,Senior Human Resources Specialist,13.0,120000.0
200.0,Micah Long,41.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,Bachelor's,Senior Marketing Coordinator,11.0,90000.0
200.0,Micah Long,45.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,PhD,Senior Data Analyst,17.0,155000.0
200.0,Micah Long,32.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,Bachelor's,Junior Account Manager,5.0,55000.0
200.0,Micah Long,35.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Master's,Senior Software Developer,9.0,110000.0
200.0,Micah Long,49.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,Master's,Director of Human Capital,21.0,180000.0
200.0,Micah Long,30.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Bachelor's,Junior Advertising Coordinator,3.0,45000.0
200.0,Micah Long,44.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Bachelor's,Senior Sales Manager,16.0,130000.0
200.0,Micah Long,27.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,Master's,Junior UX Designer,1.5,45000.0
200.0,Micah Long,36.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Bachelor's,Senior Accountant,7.0,90000.0
200.0,Micah Long,41.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,PhD,Senior Marketing Director,17.0,160000.0
200.0,Micah Long,31.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Bachelor's,Junior HR Generalist,4.0,50000.0
200.0,Micah Long,39.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,Bachelor's,Senior Operations Manager,10.0,120000.0
200.0,Micah Long,47.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Master's,Director of Finance,20.0,170000.0
200.0,Micah Long,30.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,Bachelor's,Junior Marketing Coordinator,2.0,40000.0
200.0,Micah Long,38.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Master's,Senior IT Consultant,9.0,110000.0
200.0,Micah Long,45.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,PhD,Senior Product Designer,15.0,150000.0
200.0,Micah Long,28.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Bachelor's,Junior Business Development Associate,2.0,40000.0
200.0,Micah Long,35.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,Bachelor's,Senior Marketing Analyst,8.0,85000.0
200.0,Micah Long,44.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Bachelor's,Senior Software Engineer,14.0,130000.0
200.0,Micah Long,34.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,Master's,Senior Financial Advisor,6.0,100000.0
200.0,Micah Long,35.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Bachelor's,Senior Project Coordinator,9.0,95000.0
200.0,Micah Long,50.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,PhD,Director of Operations,22.0,180000.0
200.0,Micah Long,29.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Bachelor's,Junior Business Operations Analyst,1.5,35000.0
200.0,Micah Long,40.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,Bachelor's,Senior Sales Representative,12.0,100000.0
200.0,Micah Long,48.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Master's,Director of Marketing,19.0,170000.0
200.0,Micah Long,31.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,Bachelor's,Junior Social Media Specialist,3.0,45000.0
200.0,Micah Long,33.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Bachelor's,Senior Product Development Manager,7.0,100000.0
200.0,Micah Long,42.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,Master's,Senior Human Resources Manager,13.0,140000.0
200.0,Micah Long,28.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Bachelor's,Junior Financial Analyst,2.0,40000.0
200.0,Micah Long,40.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,Bachelor's,Senior Marketing Manager,11.0,105000.0
200.0,Micah Long,46.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,PhD,Senior Data Scientist,18.0,160000.0
200.0,Micah Long,33.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,Bachelor's,Junior Operations Manager,5.0,70000.0
200.0,Micah Long,37.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Master's,Senior Software Architect,9.0,120000.0
200.0,Micah Long,51.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,Master's,Director of Human Resources,21.0,190000.0
200.0,Micah Long,30.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Bachelor's,Junior Marketing Specialist,3.0,45000.0
200.0,Micah Long,43.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Bachelor's,Senior Project Manager,15.0,120000.0
200.0,Micah Long,27.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,Master's,Junior Research Scientist,1.5,50000.0
200.0,Micah Long,35.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Bachelor's,Senior Operations Analyst,8.0,85000.0
200.0,Micah Long,42.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,PhD,Senior Marketing Manager,13.0,140000.0
200.0,Micah Long,32.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Bachelor's,Junior Sales Representative,3.0,45000.0
200.0,Micah Long,37.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,Bachelor's,Senior Financial Analyst,9.0,100000.0
200.0,Micah Long,45.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Master's,Senior Software Developer,16.0,140000.0
200.0,Micah Long,33.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,Bachelor's,Junior Operations Analyst,5.0,70000.0
200.0,Micah Long,39.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Bachelor's,Senior Marketing Specialist,10.0,120000.0
200.0,Micah Long,44.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,PhD,Senior HR Manager,18.0,160000.0
200.0,Micah Long,29.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Bachelor's,Junior Business Analyst,1.5,40000.0
200.0,Micah Long,38.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,Bachelor's,Senior Product Manager,10.0,120000.0
200.0,Micah Long,46.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,PhD,Senior Data Analyst,19.0,150000.0
200.0,Micah Long,34.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,Bachelor's,Junior Marketing Analyst,6.0,70000.0
200.0,Micah Long,36.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Bachelor's,Senior Operations Manager,8.0,95000.0
200.0,Micah Long,49.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,Master's,Director of Marketing,21.0,180000.0
200.0,Micah Long,31.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Bachelor's,Junior Financial Analyst,3.0,50000.0
200.0,Micah Long,41.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,Bachelor's,Senior Project Coordinator,11.0,95000.0
200.0,Micah Long,47.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Master's,Director of Operations,20.0,170000.0
200.0,Micah Long,29.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Bachelor's,Junior Business Operations Analyst,1.5,350.0
200.0,Micah Long,37.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,Bachelor's,Senior Financial Manager,10.0,120000.0
200.0,Micah Long,31.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,Bachelor's,Junior Marketing Coordinator,3.0,50000.0
200.0,Micah Long,42.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Bachelor's,Senior Operations Manager,12.0,110000.0
200.0,Micah Long,29.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,Bachelor's,Junior Sales Representative,1.5,40000.0
200.0,Micah Long,36.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Bachelor's,Senior Marketing Specialist,8.0,95000.0
200.0,Micah Long,44.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,Master's,Senior HR Specialist,15.0,140000.0
200.0,Micah Long,33.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Bachelor's,Junior Operations Manager,4.0,60000.0
200.0,Micah Long,39.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,Bachelor's,Senior Marketing Coordinator,9.0,110000.0
200.0,Micah Long,45.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,PhD,Senior Data Engineer,16.0,150000.0
200.0,Micah Long,32.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,Bachelor's,Junior Marketing Manager,4.0,60000.0
200.0,Micah Long,37.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Bachelor's,Senior Financial Analyst,8.0,90000.0
200.0,Micah Long,47.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,Master's,Director of Marketing,20.0,180000.0
200.0,Micah Long,30.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Bachelor's,Junior Business Analyst,2.0,40000.0
200.0,Micah Long,38.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,Bachelor's,Senior Project Manager,9.0,120000.0
200.0,Micah Long,46.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,PhD,Senior Data Analyst,17.0,160000.0
200.0,Micah Long,34.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,Bachelor's,Junior Financial Analyst,5.0,70000.0
200.0,Micah Long,36.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Bachelor's,Senior Product Manager,8.0,95000.0
200.0,Micah Long,49.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,Master's,Director of Operations,21.0,180000.0
200.0,Micah Long,31.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Bachelor's,Junior Operations Analyst,3.0,50000.0
200.0,Micah Long,47.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Master's,Director of Marketing,19.0,170000.0
200.0,Micah Long,29.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,Bachelor's,Junior Business Development Associate,1.5,35000.0
200.0,Micah Long,35.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Bachelor's,Senior Financial Manager,9.0,100000.0
200.0,Micah Long,44.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,PhD,Senior Product Designer,15.0,150000.0
200.0,Micah Long,33.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Bachelor's,Junior Business Analyst,4.0,60000.0
200.0,Micah Long,44.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Bachelor's,Senior Software Engineer,13.0,130000.0
200.0,Micah Long,32.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Male,Bachelor's,Junior Product Manager,4.0,65000.0
200.0,Micah Long,38.0,Master's,Machine Learning;Big Data;Python,Web Development;Design,Graphic Designer,0.87,salary_data,Female,Bachelor's,Senior Business Analyst,10.0,110000.0
